TournamentId,TournamentName,GameId,GameName,Location,CountryName,CountryCode,StartDate,EndDate,TotalUSDPrize,latitude,longitude,year,TournamentsByCountry,TournamentsByGame
28688,Go4SC2 April 2018 Monthly Finals,151,StarCraft II,Online,Seychelles,SC,15/05/2018,15/05/2018,239.85,,,2018.0,76,458
27942,OlimoLeague Week #121,151,StarCraft II,Online,,,15/05/2018,15/05/2018,200.0,,,2018.0,0,458
27929,Afreeca World Invitational #15,151,StarCraft II,Online,,,14/05/2018,14/05/2018,200.0,,,2018.0,0,458
27792,Arab Gaming Championship 3,245,Counter-Strike: Global Offensive,Online,,,28/03/2018,14/05/2018,10000.0,,,2018.0,0,1018
60205,Gfinity Summer Series 2018 - Cup 13,409,Rocket League,Online,,,14/05/2018,14/05/2018,305.89,,,2018.0,0,283
27784,GG.BET Ascensão,245,Counter-Strike: Global Offensive,Online,Ethiopia,ET,30/04/2018,14/05/2018,20000.0,8.62300299107,39.600671832,2018.0,23,1018
27855,Go4LoL EUNE April 2018,164,League of Legends,online,Niger,NE,14/05/2018,14/05/2018,589.53,17.4187581641,9.3857412628,2018.0,11,192
29575,Go4LoL EUW April 2018,164,League of Legends,online,,,14/05/2018,14/05/2018,614.09,,,2018.0,0,192
27739,*Pound* Underground (Singles),204,Super Smash Bros. Melee,"Laurel, Maryland",,,12/05/2018,13/05/2018,2160.0,,,2018.0,0,114
27733,BirdieLan 28 (CS:GO),245,Counter-Strike: Global Offensive,"Uppsala, Sweden",Serbia and Montenegro,CS,10/05/2018,13/05/2018,11634.69,,,2018.0,428,1018
27738,Copa Gamer Comic Con 2018,245,Counter-Strike: Global Offensive,"Santiago, Chile",Chile,CL,25/03/2018,13/05/2018,484.2,-37.7346256717,-71.3627814168,2018.0,11,1018
27735,ESEA Season 27: Global Premier Challenge,245,Counter-Strike: Global Offensive,"Leicester, United Kingdom",Spain,ES,11/05/2018,13/05/2018,50000.0,40.2274328729,-3.65226540732,2018.0,385,1018
27732,ESL Mistrzostwa Polski - Spring 2018 (CS:GO),245,Counter-Strike: Global Offensive,"Katowice, Poland",Poland,PL,12/05/2018,13/05/2018,16739.89,52.1248371866,19.3943576278,2018.0,91,1018
27780,ESL Mistrzostwa Polski - Spring 2018 (LoL - Playoffs),164,League of Legends,"Katowice, Poland",Poland,PL,05/05/2018,13/05/2018,13949.91,52.1248371866,19.3943576278,2018.0,91,192
27999,FACEIT Pro League NA May Week #2 2018 (CS:GO),245,Counter-Strike: Global Offensive,Online,Serbia and Montenegro,CS,06/05/2018,13/05/2018,5200.0,,,2018.0,428,1018
27734,FPSThailand CS:GO Pro League Season #4,245,Counter-Strike: Global Offensive,"Online / Playoffs: Bangkok, Thailand",Serbia and Montenegro,CS,06/03/2018,13/05/2018,15666.59,,,2018.0,428,1018
27737,Go4CS:GO EU #303,245,Counter-Strike: Global Offensive,Online,Serbia and Montenegro,CS,13/05/2018,13/05/2018,119.47,,,2018.0,428,1018
27945,Go4SC2 EU #777,151,StarCraft II,online,Seychelles,SC,13/05/2018,13/05/2018,119.6,,,2018.0,76,458
27754,LANBIT 2018,245,Counter-Strike: Global Offensive,"Kungsbacka, Sweden",Burundi,BI,10/05/2018,13/05/2018,2326.94,-3.35694363826,29.8753249526,2018.0,1,1018
29624,LDL Spring 2018,164,League of Legends,"offline, China",China,CN,03/03/2018,13/05/2018,94200.0,36.5602062669,103.831751251,2018.0,151,192
27976,SC2ONLINE Community Open #94,151,StarCraft II,Online,Netherlands,NL,13/05/2018,13/05/2018,50.0,52.0724168637,5.22159177132,2018.0,53,458
27777,WCS 2018 Austin - NA Qualifier,151,StarCraft II,Online,Serbia and Montenegro,CS,14/04/2018,13/05/2018,10000.0,,,2018.0,428,458
27740,*Pound* Underground (Doubles),204,Super Smash Bros. Melee,"Laurel, Maryland",,,12/05/2018,12/05/2018,1120.0,,,2018.0,0,114
27753,CBE 2018 - National Tour Hillerød,245,Counter-Strike: Global Offensive,"Hillerød, Denmark",Belgium,BE,11/05/2018,12/05/2018,2564.8,50.6375465936,4.63966996313,2018.0,19,1018
40016,ESEA Rank S EU 05-06/05-12 2018,245,Counter-Strike: Global Offensive,Online,Spain,ES,06/05/2018,12/05/2018,5200.0,40.2274328729,-3.65226540732,2018.0,385,1018
28154,Esports Championship Series Season 5 - EU League,245,Counter-Strike: Global Offensive,"London, UK",,,13/03/2018,12/05/2018,45000.0,,,2018.0,0,1018
28155,Esports Championship Series Season 5 - NA League,245,Counter-Strike: Global Offensive,"London, UK",Namibia,,13/03/2018,12/05/2018,45000.0,,,2018.0,0,1018
27759,GPL 2018 Season 2 Premier League,151,StarCraft II,"Shanghai, China",Poland,PL,07/05/2018,12/05/2018,11998.61,52.1248371866,19.3943576278,2018.0,91,458
27751,Nordsken 2018 (CS:GO),245,Counter-Strike: Global Offensive,"Skellefteå, Sweden",Serbia and Montenegro,CS,10/05/2018,12/05/2018,3489.0,,,2018.0,428,1018
